Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Charge Amount (log1p),Customer Value (log1p),Seconds of Use (log1p),Frequency of use (log1p),Frequency of SMS (log1p),Distinct Called Numbers (log1p)
0,0,31,0,2420,10,0,8,3,1,1,30,97.2,0,0.0,4.58700621536042,7.791935956938058,2.3978952727983707,0.0,2.1972245773362196
15,0,40,1,4503,72,8,37,1,1,1,15,295.625,0,0.6931471805599453,5.692468714755927,8.412721169819527,4.290459441148391,2.1972245773362196,3.6375861597263857
22,0,35,8,10840,98,2,40,4,1,1,45,278.45,0,2.1972245773362196,5.6328233857157075,9.291090521661292,4.59511985013459,1.0986122886681098,3.713572066704308
0,0,33,0,795,12,0,7,2,1,2,25,36.315,0,0.0,3.619395390583351,6.679599185844383,2.5649493574615367,0.0,2.0794415416798357
1,0,34,0,7328,119,373,38,2,1,1,25,2013.615,0,0.0,7.608183389127641,8.89959435992585,4.787491742782046,5.924255797414532,3.6635616461296463
3,0,41,0,7463,131,392,47,2,1,1,25,2105.73,0,0.0,7.652892261312041,8.91784674252718,4.882801922586371,5.973809611869261,3.871201010907891
8,0,36,2,8925,121,169,45,3,1,1,30,1037.84,0,1.0986122886681098,6.945859985015683,9.096723645189215,4.804021044733257,5.135798437050262,3.828641396489095
4,0,36,0,3280,75,16,23,2,1,1,25,222.975,0,0.0,5.411534438483642,8.0959035329611,4.330733340286331,2.833213344056216,3.1780538303479458
13,0,17,3,2053,35,22,15,3,1,1,30,171.52,1,1.3862943611198906,5.150513171779642,7.627544390488503,3.58351893845611,3.1354942159291497,2.772588722239781
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0,0.0,4.963299072439962,7.111512116496157,3.4965075614664802,2.995732273553991,2.6390573296152584
9,0,31,3,7270,116,270,34,2,2,1,25,1547.37,0,1.3862943611198906,7.344958043677256,8.891649112650057,4.762173934797756,5.602118820879701,3.5553480614894135
11,0,36,1,13998,173,7,42,3,1,1,30,594.84,0,0.6931471805599453,6.389972174648648,9.546741177474825,5.159055299214529,2.0794415416798357,3.7612001156935624
25,0,38,3,15140,225,54,32,3,1,1,30,830.6,0,1.3862943611198906,6.723351555983858,9.625161575008372,5.420534999272286,4.007333185232471,3.4965075614664802
0,0,22,0,2210,44,0,21,3,1,1,30,90.16,0,0.0,4.512616204377483,7.701200180857446,3.8066624897703196,0.0,3.091042453358316
7,0,37,1,11465,154,11,47,4,1,1,45,317.975,0,0.6931471805599453,5.765112729807807,9.347141413468329,5.043425116919247,2.4849066497880004,3.871201010907891
1,0,36,0,3035,24,478,6,3,1,1,30,2034.36,0,0.0,7.618427986407901,8.01829613851552,3.2188758248682006,6.171700597410915,1.9459101490553132
9,0,43,2,7893,135,401,49,3,1,1,30,1925.12,0,1.0986122886681098,7.563262895713127,8.973858256222792,4.912654885736052,5.996452088619021,3.912023005428146
7,0,11,2,4695,46,222,12,3,1,1,30,1077.64,0,1.0986122886681098,6.98345626732582,8.454466361507933,3.8501476017100584,5.407171771460119,2.5649493574615367
5,0,32,1,305,6,7,2,5,1,1,55,15.165,1,0.6931471805599453,2.7828484111773966,5.723585101952381,1.9459101490553132,2.0794415416798357,1.0986122886681098
15,0,36,6,7870,132,299,50,3,2,1,30,1516.08,0,1.9459101490553132,7.324542713620548,8.97094039814245,4.890349128221754,5.703782474656201,3.9318256327243257
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1,0.0,5.064112867874402,8.003363058629947,3.7376696182833684,2.302585092994046,2.833213344056216
0,0,36,0,2333,55,0,31,1,1,1,15,131.34,0,0.0,4.885374368583913,7.755338812846501,4.02535169073515,0.0,3.4657359027997265
0,0,3,0,4085,28,200,7,2,1,1,25,1085.085,0,0.0,6.990334766307644,8.315321775377567,3.367295829986474,5.303304908059076,2.0794415416798357
0,0,23,0,553,22,0,66,4,1,1,45,14.375,0,0.0,2.7327428136925818,6.317164686747284,3.1354942159291497,0.0,4.204692619390966
0,0,31,0,6290,90,0,17,4,1,1,45,159.5,0,0.0,5.07829394257007,8.74687531957003,4.51085950651685,0.0,2.8903717578961645
0,0,29,0,6420,88,2,18,4,1,1,45,167.7,0,0.0,5.128121989551922,8.76732914779405,4.48863636973214,1.0986122886681098,2.9444389791664403
0,0,30,0,3805,55,0,9,2,1,1,25,173.7,0,0.0,5.163070217140011,8.244334047856094,4.02535169073515,0.0,2.302585092994046
7,0,36,0,11350,148,0,43,3,1,1,30,459.92,0,0.0,6.133224492145814,9.337061124755339,5.003946305945459,0.0,3.784189633918261
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
20,0,45,2,3018,76,381,32,3,1,1,30,1647.76,0,1.0986122886681098,7.40777876921404,8.012680929706839,4.343805421853684,5.945420608606575,3.4965075614664802
10,0,34,1,3005,57,172,21,2,1,1,25,911.79,0,0.6931471805599453,6.81650584318549,8.00836557031292,4.060443010546419,5.153291594497779,3.091042453358316
0,0,37,0,2385,16,458,8,3,1,1,30,1928.04,0,0.0,7.56477774882345,7.777373602657861,2.833213344056216,6.129050210060545,2.1972245773362196
0,0,32,0,1303,16,0,2,3,1,1,30,52.76,0,0.0,3.984529696214894,7.1731917424865985,2.833213344056216,0.0,1.0986122886681098
11,1,36,0,2458,45,43,34,3,1,2,30,272.12,1,0.0,5.609911259046131,7.807510042216193,3.828641396489095,3.784189633918261,3.5553480614894135
15,0,43,1,4855,85,23,24,3,1,1,30,289.6,0,0.6931471805599453,5.671947751136183,8.487970332739334,4.454347296253507,3.1780538303479458,3.2188758248682006
19,0,43,4,9500,129,161,49,3,1,1,30,1029.16,0,1.6094379124341003,6.937469408965528,9.15915233520675,4.867534450455582,5.087596335232384,3.912023005428146
5,1,5,0,1533,15,7,3,3,1,1,30,89.92,1,0.0,4.509979998984343,7.335633981927201,2.772588722239781,2.0794415416798357,1.3862943611198906
17,0,27,1,15710,229,0,76,2,1,1,25,717.255,0,0.6931471805599453,6.5768246591995965,9.662116382947598,5.438079308923196,0.0,4.343805421853684
10,0,45,0,1440,30,22,19,3,1,2,30,146.8,0,0.0,4.995860008514102,7.273092595999522,3.4339872044851463,3.1354942159291497,2.995732273553991
10,0,26,1,1340,38,51,17,2,1,1,25,291.51,0,0.6931471805599453,5.678498854121702,7.201170883281678,3.6635616461296463,3.9512437185814275,2.8903717578961645
0,0,34,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
5,0,35,3,6560,111,253,35,2,2,1,25,1438.695,0,1.3862943611198906,7.272186564580526,8.788898309344878,4.718498871295094,5.537334267018537,3.58351893845611
18,0,16,1,9642,182,81,40,5,1,1,55,268.86,0,0.6931471805599453,5.5979033060026415,9.173987542510384,5.209486152841421,4.406719247264253,3.713572066704308
9,1,38,0,2238,54,8,17,3,1,2,30,123.68,0,0.0,4.825750454899136,7.713784616598755,4.007333185232471,2.1972245773362196,2.8903717578961645
9,0,27,0,510,24,1,4,2,1,2,25,28.53,0,0.0,3.3854066957558313,6.236369590203704,3.2188758248682006,0.6931471805599453,1.6094379124341003
2,0,28,0,2685,29,0,13,2,1,2,25,122.13,1,0.0,4.81324070780478,7.895808377083183,3.4011973816621555,0.0,2.6390573296152584
2,0,23,0,1388,31,19,63,4,1,1,45,82.975,0,0.0,4.430519135498356,7.236339342754344,3.4657359027997265,2.995732273553991,4.1588830833596715
12,1,34,0,3115,39,7,13,3,1,2,30,154.16,1,0.0,5.044456842571766,8.044305406990638,3.6888794541139363,2.0794415416798357,2.6390573296152584
6,0,13,3,2673,37,20,14,3,1,1,30,188.4,0,1.3862943611198906,5.243861180751978,7.891330757661889,3.6375861597263857,3.044522437723423,2.70805020110221
14,0,37,2,3900,80,28,25,3,1,1,30,271.2,0,1.0986122886681098,5.6065370902173655,8.268988209506656,4.394449154672439,3.367295829986474,3.258096538021482
0,0,23,0,2320,45,0,6,3,1,1,30,94.6,0,0.0,4.560172820057356,7.749753406274437,3.828641396489095,0.0,1.9459101490553132
3,0,35,0,3950,59,0,11,2,1,1,25,180.405,0,0.0,5.2007321006969836,8.281723990411392,4.0943445622221,0.0,2.4849066497880004
25,0,34,8,10660,97,7,40,5,1,1,55,171.855,0,2.1972245773362196,5.152453092764419,9.274347501950475,4.584967478670572,2.0794415416798357,3.713572066704308
18,0,33,2,14655,211,36,25,3,1,1,30,738.64,0,1.0986122886681098,6.606163581338786,9.592605086913911,5.356586274672012,3.6109179126442243,3.258096538021482
6,0,40,0,1028,16,15,4,3,1,2,30,101.76,0,0.0,4.632396172241683,6.9363427358340495,2.833213344056216,2.772588722239781,1.6094379124341003
16,0,36,0,14235,209,26,15,3,1,1,30,681.76,0,0.0,6.526143406896132,9.563529246630083,5.3471075307174685,3.295836866004329,2.772588722239781
1,0,36,0,3293,50,0,18,1,1,1,15,183.865,0,0.0,5.219625828966256,8.099857910737585,3.9318256327243257,0.0,2.9444389791664403
0,0,35,0,0,0,25,0,3,1,2,30,100.0,1,0.0,4.61512051684126,0.0,0.0,3.258096538021482,0.0
10,0,43,1,2878,72,20,40,2,1,1,25,222.75,0,0.6931471805599453,5.410529357154965,7.965198290612176,4.290459441148391,3.044522437723423,3.713572066704308
1,0,25,0,1230,15,22,1,4,1,2,45,86.125,0,0.0,4.467343869080688,7.115582126184454,2.772588722239781,3.1354942159291497,0.6931471805599453
1,0,38,0,2148,55,0,33,1,1,1,15,121.165,0,0.0,4.805372590000734,7.67275789664251,4.02535169073515,0.0,3.5263605246161616
0,0,16,0,1200,19,12,9,2,1,1,25,108.855,0,0.0,4.699161314408333,7.0909098220799835,2.995732273553991,2.5649493574615367,2.302585092994046
0,0,36,0,0,0,0,0,2,1,2,25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,32,0,305,6,7,2,4,1,2,45,25.275,1,0.0,3.2686179167630147,5.723585101952381,1.9459101490553132,2.0794415416798357,1.0986122886681098
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1,0.6931471805599453,5.9512153052002965,8.66888370465667,4.59511985013459,3.295836866004329,3.2188758248682006
19,0,37,2,6528,109,34,24,2,1,1,25,451.665,0,1.0986122886681098,6.115152337558628,8.784009071186633,4.700480365792417,3.5553480614894135,3.2188758248682006
0,0,34,0,955,33,13,20,3,1,2,30,91.52,0,0.0,4.527424837363238,6.862757913051401,3.5263605246161616,2.6390573296152584,3.044522437723423
3,0,13,0,8028,155,45,23,4,1,1,45,317.075,0,0.0,5.762287204028764,8.990815266184685,5.049856007249537,3.828641396489095,3.1780538303479458
13,0,40,1,4675,77,12,19,3,1,1,30,238.08,0,0.6931471805599453,5.476798223956053,8.450198322591959,4.356708826689592,2.5649493574615367,2.995732273553991
9,0,27,0,1758,39,7,66,4,1,1,45,62.425,0,0.0,4.149858105485346,7.472500744737558,3.6888794541139363,2.0794415416798357,4.204692619390966
8,0,41,2,1240,23,12,15,2,1,1,25,110.835,0,1.0986122886681098,4.717024570762233,7.123672785204607,3.1780538303479458,2.5649493574615367,2.772588722239781
2,0,35,1,2915,19,472,3,3,1,1,30,2005.36,0,0.6931471805599453,7.604077414035726,7.977968093128549,2.995732273553991,6.159095388491933,1.3862943611198906
28,0,33,4,16135,241,5,82,2,1,1,25,759.42,0,1.6094379124341003,6.633870912214728,9.688808079634049,5.488937726156687,1.791759469228055,4.418840607796598
0,0,36,0,2278,53,4,34,1,1,1,15,150.205,0,0.0,5.018636531981741,7.731492029245684,3.9889840465642745,1.6094379124341003,3.5553480614894135
7,0,31,0,8730,113,127,37,3,1,1,30,861.72,0,0.0,6.760090188843833,9.074635189810808,4.736198448394496,4.852030263919617,3.6375861597263857
2,0,35,0,2180,31,274,13,3,1,1,30,1184.44,0,0.0,7.077869292668347,7.687538766201629,3.4657359027997265,5.616771097666572,2.6390573296152584
5,0,34,2,3440,32,21,29,3,1,1,30,222.88,0,1.0986122886681098,5.411110194023159,8.14351740579748,3.4965075614664802,3.091042453358316,3.4011973816621555
3,0,23,0,1235,34,183,7,2,2,1,25,880.605,0,0.0,6.781744109888919,7.119635638017636,3.5553480614894135,5.214935757608986,2.0794415416798357
8,0,26,1,3935,72,16,23,3,1,1,30,224.28,0,0.6931471805599453,5.417344072969677,8.277920258172143,4.290459441148391,2.833213344056216,3.1780538303479458
